"contenido","cantidad"
"Gracias!","7"
"gracias","6"
"Buenas tardes Lucas. 

Puede copiar la información de la grabación que aparece abajo y compartirla con otros
https://utn.zoom.us/rec/share/M8-Y6CySjQFDlcLPUyC4AJKT3p6M1CclQTauOQEcfA2bOkrEmFPtiGAlaJDhyxgk.XASpCAVvgalefK1h
Código de acceso: ?qKt+0TQ","5"
"Nico! Ahí debería estar solucionado","5"
"Iván, lo que se le agrega al gasto es una simple etiqueta, no cambia comportamiento y no cambia. Fijate cuál es el motivo de la elección de esas etiquetas y dónde podés implementar ese comportamiento.","5"
"- Dirección: es media exagerada la tabla dirección, tranquilamente podría estar embebida dentro de establecimiento. Una tabla más implica un join más.
- Metros cuadrados: dos columnas para poder diferenciarlos, otra no te queda.
- Demografía: Bien, en persona_establecimiento deberíamos poner los datos correctos por cada individuo. NO poner columna ""edad"".
- Restricciones: Podrías tener una sola tabla y agregar una columna ""tipo"" para diferenciar si es horario de visita o de circulación familiar.  Es necesario el modelado, lo solicita el enunciado. Si te situas en el Dominio, es información súper valiosa para los vigiladores para saber si en determinado horario realmente se esperaba tanto flujo de personas o no.
- Cant. accesos: También podría ser solamente una sola tabla. Podrías tener una columna ""tipo"" para diferenciar los registros.
- Fotografias: ok
-Sectores: pueden estar normalizados o no. Si los normalizas, solamente un nombre, una relación contra establecimiento, y relación con fotografías. También relación con tótem, porque cada tótem está en un sector en particular.","4"
"Hola! Qué final y qué resolución? En caso de que te pidan generar imágenes / pdf con distintas estrategias deberías pensar en un adapter por estrategia, sí, por la diversidad de dependencias. El método que genere el documento podrías pensarlo como que devuelve un string que representa el path, no sería un void en ese caso","4"
"Exacto!","4"
"Buenas noches <@499815166884577282>, las distintas respuestas te van condicionando, pero sos consistente, podrías haber salvado los puntos. De igual manera pensar en una WebApp Cliente Liviano para una aplicación que será 100% móvil, tal vez no es lo mejor. Entiendo que trataste de resolver cuestiones de performance, pero podrías haber encarado ese punto por una App Nativa, con todas las otras desventajas que eso trae. En el 1.b el callback es correcto, pero no explicarías como le llega al Usuario que la ruta está lista, solo está la vista de los dos componentes. ¿Se entiende un poco la idea?","4"
"Ivan, disculpá me equivoqué yo al escribirlo, quería hacer hincapié que el   estado se debe aplicar al Contexto(en este caso la Persona) y ese cambio de Estado cambia el comportamiento del Contexto. El contexto como decís se pasa como parámetro. Es correcto lo que planteas! Mil disculpas por el error anterior.","4"
"Buenas! No, no es necesario","4"
"hola! Podrías tirarlo por esa posibilidad, sí (por debajo los enum son enteros), pero también podrías ir contra el contexto. Si tenés tres estados (ACTIVO, INACTIVO, DESCONOCIDO) por ejemplo, y se sabe que no hay forma de que se modifiquen / la posibilidad de cambio es muy baja, podés ir por el enum en vez de porla clase.","4"
"Buenas noches <@903070894103097344>, si bien la API REST es sincrónica, el proceso final termina siendo asincrónico, ya que la API te responde un 200 OK, pero solo de recepción y al terminar el proceso completo, te avisa a la dirección de callback.","4"
"Buena noches <@499815166884577282>, el Balancer es un componente que para el Cliente y la App es casi transparente. La solicitud llega a él y el la ""pasa"" a una de las instancias. Llega por HTTPS (seguro) y luego sigue por HTTP eso es correcto. El balanceador de carga se conectará a la interfaz que la App exponga, ya sea REST, GRAPHQL, o podría ser una simple ruta que devuelve un HTML.","4"
"Sí, está perfecto!","4"
"Buenas! 

1. Ahí hay que distinguir entre lo que es una **métrica** (ejemplo, tiempo que tarda en responder en segundos) vs el valor que se obtiene para la métrica cuando responde esa determinada pregunta (60 segundos). Lo que van a tener las respuestas son las métricas con su valor, ¿me explico? No se menciona mucho así que una métrica podría tener simplemente un nombre / descripción pero la diferencia entre estas dos cosas que te menciono tiene que estar 🙂 Fijate si podés identificar esas dos abstracciones y cualquier cosa nos decís.

2. a. Está bien y es necesario, de hecho 🙂

b. Si bien es parte de un componente que ya existe, son datos que se necesitan para lo que sí confiere al objetivo del final que es diseñar el componente *evaluador de las campañas*. Deberías tener una referencia a la pregunta, en la clase de consulta lo tocamos pero con otros dominios, por si te sirve revisarlo!","4"
"Final Rebah","4"
"Hola Juani! Fijate que hace unos días <@619124331317952533> compartió su resolución. Te faltaría un método que permita ejecutar todas las acciones en su totalidad en el Elemento. Podrías pensar en un único Adapter que permite integrarse en forma desacoplada con el Sistema Externo. La idea es esa, que tengas todas acciones ejecutadas antes del día de la reserva, como para dejar preparado el/los equipo/s 🙂","4"
"@everyone les dejo la grabación de la última clase de consulta. 

https://drive.google.com/drive/u/1/folders/1YqldA-NNfM-nwXpBpP-HS7vf6l2U82-p

Mañana apenas tenga un ratito, les voy respondiendo las dudas que quedaron!","4"
"Hola! una de las razones por las que podrias pensar que es stateful es porque dependen del usuario. Por ejemplo, y cito el enunciado: Para pleno gasto: ""El Sistema tendrá que intensificar las alertas de consumo en un 15% de su umbral"", podrías entonces considerar que el estado conoce al Usuario mínimamente, y ahí ya se torna stateful. 
Respecto a las notificaciones, las notificaciones en ciertos casos interesa guardarlas por cuestiones de trackeo, en caso de que haya habido algún error al enviarlas. En este caso, también las notificaciones recibidas hacen una idea del comportamiento del usuario, podría llegar a ser útil a pesar de que no lo mencione explícitamente.
De todas formas, por el poco tiempo disponible en un recu/final, como solemos decir, lo mejor es ir por tu ""primera opción"" y continuar con el resto 🙂","4"
"GameTrack - Gestion de videojuegos","4"
"Buenas! Mas arriba <@456540019000082446> compartio su resolucion. Ambas son muy similares con algunas diferencias, por supuesto. Lo que se podria sumar, aunque no se pida explicitamente, es algun tipo de registro de fecha de cambio de precio de un Dispositivo, mas alla de desnormalizar el precio en el Alquiler. 
Por otro lado, una Orden de Alquiler podria tener varios dispositivos concretos asociados, mientras que DispositivoConcreto podria estar en muchos registros de OrdenAlquiler. Por lo que te faltaria una relacion Many to Many, revisa la relacion porque como la tenes dibujada tendrias que un Dispositivo Particular podria estar unicamente en una Orden de Alquiler.","4"
"Hola! Podrías tenerlo desde la clase Elemento, o si tenés una abstracción para el tipo de elemento también. Depende mucho de cómo lo justifiques luego en las decisiones de diseño 🙂","4"
"Gonza, lo que pasa es que tu propuesta es un ""parche"", porque en realidad seguirías realizando el proceso de forma sincrónica pero para poder soportar tu hipotética carga empezas a sumar servidores. ""Resuelve"" en el corto plazo, por eso digo que es ""un parche"".","4"
"https://discord.com/channels/1219817855730843729/1219817856854786161/1312429977920081940","4"
"Si!","4"
"Entiendo que modelaste las correlativas como un array de materias, en ese caso, tenés que pasarle al constructor de Materia un array de materias. Lo que te quedaría más cómodo es inicializar las materias en orden. Entonces, cuando querés crear AM2, hacés así: Materia am2 = new Materia(""AM2"", {am1, aga}).","4"
"Hola <@702906321782964258>  <@588739213030326287> , cuando puedan me mandan el link del repo porfi","4"
"Buenas! Las soluciones SSO en algunas ocasiones cuentan con una BD propia, ejemplo: https://auth0.com/docs/authenticate/database-connections","4"
"- ""Acción"" También sería una single table en tu modelo? De ser así, estaría correcta tu propuesta
- Time sí, existe","4"
"Hola Luciano! Podés mandar qué warning te aparece en el pom y qué dice el error de tu clase BaseTest?","4"
"Buenas noches <@903070894103097344>, en una cola de mensajes, pensalo como algo informativo al otro Servicio, luego el Servicio a partir de eso tendrá que resolver según su necesidad. En una cola de trabajo, está pensada la comunicación para que exista un servicio que procese y resuelva una necesidad concreta el servicio que dejó la tarea. A grandes razgos y arquitecturamelmente son similares, es por ello que por ejemplo con RabbitMQ podés implementar cualquiera de los dos escenarios.","4"
"Exactamente Martín!","4"
"Hola! No hay un limite en si, en este caso podrias ir por la Single Table. Dependeria de cuantos finalmente quedarian en null y si perdes ""legibilidad"" si se quiere, es decir, que la tabla que estas mapeando sea dificil de manejar y consultar:)","3"
"Buenass, quería avisar que en el doc de la ultima clase, el link a las consideraciones del segundo parcial del martes de 2023 te redirecciona a las consideraciones del parcial de ese mismo año pero del miércoles","3"
"Yanel, no te impacta la aplicación del Patrón, ya que lo que te cambia es la direccionalidad de la relación, pero el State se sigue aplicando al Gasto. Siempre que apliquen el State, validen el cambio de comportamiento para cada Estado y las transiciones entre ellos.","3"
"Puede ser que no estes incluyendo el import","3"
"Buenas! Claro, el Service Registry & Discovery permite almacenar los servicios disponibles e intercambiarlos de forma ágil, y el api gateway lo utiliza para conocer la ubicación exacta de los servicios que requiere para retornar la response. Y sí, el management es el Actuator que vimos en el ejmpo de Microservicios. No se lo menciona porque en realidad el enfoque en el parcial era asegurar que puedas hacer el balanceo de cargas con el API Gateway (que es balanceador) + el service Registry para el registro de todas las instancias del microservicio de Alertas","3"
"Muchas gracias!","3"
"Buenas! 
No, podrías tener mas de una búsqueda de estacionamiento relacionada a un vehículo. Lo resolverías con @ManyToOne","3"
"Buenas profes, quería consultar por la parte de arquitectura del parcial. Específicamente si los diagramas de Despliegue y de Componentes entran en este parcial o no, ya que estuvimos debatiendo 
por el grupo de wpp y no quedaba del todo claro.","3"
"Posiblemente te falte el import","3"
"Buenas noches <@686226943749783610>, entiendo que no querés ir por el State, pero en este caso fijate que tendrían esos métodos, no sé si es Aumentar es muy diferente al Disminuir. Tal vez podés generar una Abstracción EvaluadorAutonomía y ahí generar el comportamiento necesario.","3"
"Entonces, tendrías las variables _am1_ y _aga_ para usar acá","3"
"GTV","3"
"graciass, me redirecciona mal nose xq","3"
"Buenas! Algunas consideraciones que veo a alto nivel: 
- ¿Por qué la herencia para PersonaHumana y Juridica? El comportamiento que tendrían en común en realidad son métodos fuera de lugar, qué haría el método generarPoliza, por ejemplo? Revisen lo que le contestamos hoy a otro chico sobre el mismo final. La creación de polizas se resolvería a nivel Controller. 
- Por lo que charlamos con Martín durante el día, entiendo que el Calculador de Poliza tendría una pequeña variación. 
- ¿Qué representa la clase GPS? ¿La ubicación? Eso no queda muy claro.
- Convendría distinguir la SolicitudDePoliza de la Poliza en sí. 
- Faltaría dejar como atributo la cantidad de siniestros que se registraron en un vehículo. 
- Respecto a la pregunta en sí, podrían tener un Generador de Alertas como propone <@839634535213301772> en su solución.","3"
"Va bien! Lo único, quizá sería mejor para desacoplar los servicios no pasarle una entidad de Dominio sino un DTO o los atributos por separado. Lo del ENUM para Cobertura podrías pensarlo como una clase concreta (nomás por ese etc. en el enunciado :D) si pensás que podrían surgir a demanda y que en vez de tocar código podés crear nuevos niveles de cobertura desde la BD, por ej. Igual es bastante específico lo que te menciono y en un final es preferible ir por lo primero a lo que llegues, más que nada por el tiempo 😄","3"
"Podés indicar INT(11), VARCHAR(255) o podés definir TIpo de Dato 1,2,3,4 y luego especificarlos en otro lado (esto solamente por una cuestión de tiempo, no es recomendado en el ámbito profesional, ya que dificulta la lectura)","3"
"Buenas tardes <@320716373309521932>. Es correcto que sea un componente. Más allá de eso, para graficarlo si es importante entender cómo se utiliza y quién lo conoce. En general si vos cacheas algo intermedio a la Base de Datos, la Base de Datos, no sabe que existe el componente, si la Aplicación que consume los Datos. La integración con esa Cache dependerá de que tipo es. Podés investigar Memcached, Redis.
Cualquier otra duda, a disposición!","3"
"Hola buenas tardes","3"
